,2005-Mar,2005-Apr,2005-May,2005-Jun,2005-Jul,2005-Aug,2005-Sep,2005-Oct,2005-Nov,2005-Dec,2006-Jan,2006-Feb,2006-Mar,2006-Apr,2006-May,2006-Jun,2006-Jul,2006-Aug,2006-Sep,2006-Oct,2006-Nov,2006-Dec,2007-Jan,2007-Feb,2007-Mar,2007-Apr,2007-May,2007-Jun,2007-Jul,2007-Aug,2007-Sep,2007-Oct,2007-Nov,2007-Dec,2008-Jan,2008-Feb,2008-Mar,2008-Apr,2008-May,2008-Jun,2008-Jul,2008-Aug,2008-Sep,2008-Oct,2008-Nov,2008-Dec,2009-Jan,2009-Feb,2009-Mar,2009-Apr,2009-May,2009-Jun,2009-Jul,2009-Aug,2009-Aug,2009-Sep,2009-Oct,2009-Nov,2009-Dec,2010-Jan,2010-Feb,2010-Mar,2010-Apr,2010-May,2010-Jun,2010-Jul,2010-Aug,2010-Sep,2010-Oct,2010-Nov,2010-Dec,2011-Jan,2011-Feb,2011-Mar,2011-Apr,2011-May,2011-Jun,2011-Jul,2011-Aug,2011-Sep,2011-Oct,2011-Nov,2011-Dec,2012-Jan,2012-Feb,2012-Mar,2012-Apr,2012-May,2012-Jun,
design,0,1,3,3,0,1,0,5,2,2,6,5,5,1,1,10,5,2,3,2,0,0,3,6,7,3,7,5,3,3,7,6,4,1,3,4,4,4,6,5,4,0,6,0,0,1,4,4,3,0,4,1,1,0,0,5,3,6,2,1,0,2,0,4,9,7,0,14,6,1,5,6,7,7,3,6,1,3,0,0,0,4,1,0,6,0,1,1,0,
webdesign,2,1,1,1,1,3,0,3,2,1,4,8,3,0,1,6,0,1,3,1,0,0,0,2,1,3,3,1,1,1,1,4,1,0,0,2,0,2,2,1,1,3,4,0,0,0,4,1,3,0,5,1,0,1,1,2,0,6,1,0,2,2,2,5,10,13,0,17,10,3,3,12,4,6,8,4,2,7,1,1,5,8,3,1,7,2,5,5,0,
flash,1,0,0,0,0,0,3,3,0,1,0,3,4,0,0,6,2,2,4,0,2,1,0,4,1,2,1,5,1,2,2,5,3,5,3,6,3,7,4,1,3,4,3,5,4,2,5,4,5,3,0,4,3,6,6,2,3,1,2,3,7,4,2,2,5,5,1,6,9,1,1,1,0,0,0,1,0,2,0,0,0,0,0,0,1,2,0,0,0,
javascript,4,3,0,3,0,0,0,1,3,3,1,7,3,1,2,1,1,0,3,2,0,0,0,0,0,3,1,1,0,1,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,2,1,0,1,1,2,0,4,0,1,1,2,2,4,2,3,2,4,1,0,0,0,2,1,13,11,2,6,0,
howto,1,3,5,5,4,5,6,1,2,1,4,4,6,1,5,4,3,4,4,1,1,0,0,3,0,1,0,1,2,0,1,1,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,1,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
tools,0,0,4,0,0,4,5,2,2,1,2,0,3,0,5,3,1,3,1,0,0,0,2,5,4,2,4,2,0,1,1,1,1,0,0,2,1,0,0,1,1,0,3,0,0,0,2,2,2,1,0,0,0,0,0,1,1,0,0,0,0,2,0,1,2,1,0,3,1,0,1,2,1,0,1,1,1,3,0,0,0,0,1,2,3,0,0,1,0,
inspiration,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,2,2,0,0,0,1,1,0,0,0,1,1,2,3,0,0,0,0,0,0,1,0,3,0,3,1,0,2,2,2,2,6,1,0,3,2,2,2,1,9,0,7,5,0,4,2,1,4,1,2,0,3,0,2,1,4,1,0,4,0,4,2,0,
css,5,1,1,0,1,1,0,0,4,2,1,2,2,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,1,0,0,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,2,4,3,0,2,4,1,1,6,4,5,5,2,3,1,0,0,1,1,0,0,14,1,0,2,0,
mobile,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,6,5,2,1,1,0,0,0,2,1,1,0,0,2,1,3,2,0,2,0,1,0,0,1,1,0,0,0,0,1,0,4,7,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,3,0,5,1,1,0,1,1,0,2,0,0,2,0,0,1,1,1,0,2,2,0,0,0,
as3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,3,2,4,0,2,2,0,2,2,1,2,1,2,4,2,3,1,0,4,3,4,4,1,0,0,1,2,5,2,2,2,4,1,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
